"name","description","address","phone","url","town"
"Dapper Dogs","Dog Clipping and Grooming in Southport","Orchard Lane Southport Merseyside PR8 3RA","+447765634244","https://directory.independent.co.uk/company/dapper-dogs/16757870","Southport"
"Elizabeth's","Dog Clipping and Grooming in Wigan","46 Scot Lane Aspull Wigan Lancashire WN2 1YX","+441942833334","https://directory.independent.co.uk/company/elizabeth-s/1898948","Wigan"
"Spruce Your Pooch","Dog Clipping and Grooming in Cannock","Orchid Close Huntington Huntington Cannock Staffordshire WS12 4UH","+441543572712","https://directory.independent.co.uk/company/spruce-your-pooch/14623070","Cannock"
"Hair Of The Dog","Dog Clipping and Grooming in Walsall","Sutton Road Walsall West Midlands WS1 2PQ","+441634849011","https://directory.independent.co.uk/company/hair-of-the-dog/11134570","Walsall"
"Posh Dog Wash","Dog Clipping and Grooming in Farnborough (Hampshire)","24 Meadow Road Farnborough Hampshire GU14 8ES","+441252663128","https://directory.independent.co.uk/company/posh-dog-wash/10927670","Farnborough"
"A Country Parlour","Dog Clipping and Grooming in Battle (East Sussex)","5 Langton Close Battle East Sussex TN33 0XH","+447538958939","https://directory.independent.co.uk/company/a-country-parlour/12304570","Battle"
"Beautiful Dogs Ltd","Dog Clipping and Grooming in Pershore","Unit 1 Cowleys Way High Street Pershore Worcestershire WR10 1EU","+441386556640","https://directory.independent.co.uk/company/beautiful-dogs-ltd/18976370","Pershore"
"Poshdogz","Dog Clipping and Grooming in Lincoln","Dowding Road Lincoln Lincolnshire LN3 4PH","+441522548671","https://directory.independent.co.uk/company/poshdogz/14514470","Lincoln"
"The grooming rooms","Dog Clipping and Grooming in Leigh (Lancashire)","24 Leigh Road Leigh Lancashire WN7 1RX","+447964068509","https://directory.independent.co.uk/company/the-grooming-rooms/18794670","Leigh"
"The Doggy Haven","Dog Clipping and Grooming in Prescot","90 South Avenue Prescot Merseyside L34 1LZ","+441512891540","https://directory.independent.co.uk/company/the-doggy-haven/15235070","Prescot"
"Hannah's Dog Grooming","Dog Clipping and Grooming in Newport (Gwent)","144 Lower Dock Street Newport Gwent NP20 1EE","+441633211711","https://directory.independent.co.uk/company/hannah-s-dog-grooming/15180070","Newport"
"Winters","Dog Clipping and Grooming in Wantage","Charney Bassett Wantage Oxfordshire OX12 0EY","Phone not found","https://directory.independent.co.uk/company/winters/15472770","Wantage"
"K9 PET SERVICES & PET SUPPLIES","Dog Clipping and Grooming in Southend-on-Sea","24 Sunbury Court, North Shoebury, Shoeburyness Southend-on-Sea Essex SS38TR","+447709028696","https://directory.independent.co.uk/company/k9-pet-services-andamp-pet-supplies/6717158","Shoeburyness"
"Donnas Dog Grooming","Dog Clipping and Grooming in Llanelli","3 Carmarthen Road Cross Hands Llanelli Carmarthenshire SA14 6SP","+441269833741","https://directory.independent.co.uk/company/donnas-dog-grooming/6562804","Llanelli"
"Doggylicious Dog Grooming Service","Dog Clipping and Grooming in Nottingham","15 Labray Road Calverton Nottingham Nottinghamshire NG14 6LD","+441158477523","https://directory.independent.co.uk/company/doggylicious-dog-grooming-service/6537580","Nottingham"
"Dogz Body Grooming","Dog Clipping and Grooming in Stevenage","Waternodge Vets 1st Floor Maxwell Road  Stevenage Hertfordshire SG2 7DW","+441438743189","https://directory.independent.co.uk/company/dogz-body-grooming/6664040","Stevenage"
"Mobile Pampered Pooches","Dog Clipping and Grooming in Oldbury (West Midlands)","5 Clee Road Oldbury West Midlands B68 9RF","+441215523705","https://directory.independent.co.uk/company/mobile-pampered-pooches/1974026","Oldbury"
"Quality Dog Grooming Evesham Pershore","Dog Clipping and Grooming in Pershore","Mollys Cottage Nr Bishampton Evesham WR102NB","+441386860994","https://directory.independent.co.uk/company/quality-dog-grooming-evesham-pershore/3844352","Evesham"
"Alexandras Dog Grooming","Dog Clipping and Grooming in Warrington (Cheshire)","16 Littlecote Gardens Appleton Warrington Cheshire WA4 5DL","+441925756066","https://directory.independent.co.uk/company/alexandras-dog-grooming/3951286","Warrington"
"Wagtowers","Dog Clipping and Grooming in Stoke-on-Trent","1 Carlton Close Cheadle Stoke On Trent Staffordshire ST10 1LB","+441264394547","https://directory.independent.co.uk/company/wagtowers/6329734","Cheadle"
"Jaydonspire","Dog Clipping and Grooming in Chesterfield","Calow Green Calow Chesterfield Derbyshire S44 5XQ","+447968890687","https://directory.independent.co.uk/company/jaydonspire/5464628","Chesterfield"
"Designer Dogs","Dog Clipping and Grooming in Chichester","Northleigh Farm Main Road Birdham Chichester West Sussex PO20 7BY","+441243671892","https://directory.independent.co.uk/company/designer-dogs/5121793","Chichester"
"Four Paws Dog Grooming","Dog Clipping and Grooming in Richmond (Surrey)","17 Sheridan Road Richmond Surrey TW10 7NH","+448007310910","https://directory.independent.co.uk/company/four-paws-dog-grooming/3122160","Richmond"
"All Dogs","Dog Clipping and Grooming in Reading","1 Broomhill Bath Road Beenham Reading Berkshire RG7 5QB","+441189710411","https://directory.independent.co.uk/company/all-dogs/3653923","Reading"
"Snip 'N' Snap","Dog Clipping and Grooming in Tavistock","4 Lockyer Mews Paddons Row Tavistock Devon PL19 0HF","+441822618571","https://directory.independent.co.uk/company/snip-n-snap/3889702","Tavistock"
"Bowmeow","Dog Clipping and Grooming in Warrington (Cheshire)","7 Wood Lane Appleton Warrington Cheshire WA4 3DB","+441925210147","https://directory.independent.co.uk/company/bowmeow/3690818","Warrington"
"Becky's Professional Dog Grooming","Dog Clipping and Grooming in Dorking","23 Anstiebury Close Beare Green Dorking RH5 4RE","+447739263244","https://directory.independent.co.uk/company/becky-s-professional-dog-grooming/5477932","Dorking"
"Dial A Dog Wash","Dog Clipping and Grooming in Wareham","The Mews Sandford Road Wareham Dorset BH20 4DG","+441929556401","https://directory.independent.co.uk/company/dial-a-dog-wash/11946421","Wareham"
"Paws4thought","Dog Clipping and Grooming in Norwich","4 Upgate Street Carleton Rode Carleton Rode Norwich Norfolk NR16 1NJ","+441953860019","https://directory.independent.co.uk/company/paws4thought/14963170","Norwich"
"Dw Professional Groomers","Pet Services in Lutterworth","Ashby Road Gilmorton Gilmorton Lutterworth Leicestershire LE17 5LY","+447884068930","https://directory.independent.co.uk/company/dw-professional-groomers/19101970","Lutterworth"
"Its a Dogs Life","Dog Clipping and Grooming in Dunoon","99c Marine Parade Kirn Dunoon Argyll PA23 8HQ","+447534467661","https://directory.independent.co.uk/company/its-a-dogs-life/20627721","Dunoon"
"Styled To Pawfection","Dog Clipping and Grooming in Polegate","2 High Street Alfriston Alfriston Polegate East Sussex BN26 5SZ","+441323870002","https://directory.independent.co.uk/company/styled-to-pawfection/20632221","Polegate"
"Tops & Tails","Pet Services in Wakefield","8 The Spinney Wakefield Wakefield WF2 6JN","+441924253567","https://directory.independent.co.uk/company/tops-andamp-tails/19999021","Wakefield"
"Animal Antics","Dog Clipping and Grooming in Doncaster","71 Sandringham Road, Intake Doncaster South Yorkshire DN2 5HY","+441302368411","https://directory.independent.co.uk/company/animal-antics/5154998","Doncaster"
"Doggy Doo's","Dog Clipping and Grooming in Hitchin","2, Folly Path Hitchin Hertfordshire SG4 9DU","+447772077061","https://directory.independent.co.uk/company/doggy-doo-s/19670721","Hitchin"
"Alison's Dog Grooming Services","Dog Clipping and Grooming in York","Sugar Hill Farm Stockton Lane York North Yorkshire YO32 9UA","+441904422905","https://directory.independent.co.uk/company/alison-s-dog-grooming-services/12282821","York"
"BlueMoon pet Grooming","Dog Clipping and Grooming in Nottingham","1 Exbury Gardens  West Bridgford Nottingham NG2 7SL","+447944712334","https://directory.independent.co.uk/company/bluemoon-pet-grooming/7224482","Nottingham"
"Chloe's Dog Grooming","Dog Clipping and Grooming in Tunbridge Wells","29 Farmcombe Road Tunbridge Wells TN2 5DE","+447900817278","https://directory.independent.co.uk/company/chloe-s-dog-grooming/7281616","Tunbridge Wells"
"Heads And Tails","Dog Clipping and Grooming in Manchester","7 Stretford Road Urmston Manchester M41 9JY","+447539836716","https://directory.independent.co.uk/company/heads-and-tails/7270304","Manchester"
"Posh Pet Parlour","Dog Clipping and Grooming in Weybridge","Holland House Old Heath Road Weybridge KT13 8UF","+441932842000","https://directory.independent.co.uk/company/posh-pet-parlour/7269284","Weybridge"
"Happy Hound Haircuts Ltd","Dog Clipping and Grooming in Whitley Bay","12 St. Michaels Avenue New Hartley  New Hartley Whitley Bay Tyne and Wear NE25 0RP","+447976030955","https://directory.independent.co.uk/company/happy-hound-haircuts-ltd/19923521","Whitley Bay"
"Oh So Hairy Dog Grooming","Dog Clipping and Grooming in Mitcham","Lancaster Avenue Mitcham Surrey CR4 1QN","+447754987171","https://directory.independent.co.uk/company/oh-so-hairy-dog-grooming/20015121","Mitcham"
"Alermann Pet Care","Pet Services in Northallerton","Roughley Corner Farm Low Street Leeming Bar Northallerton North Yorkshire DL7 9LX","+441677424426","https://directory.independent.co.uk/company/alermann-pet-care/19688421","Northallerton"
"Elite Dog Grooming","Dog Clipping and Grooming in Sevenoaks","Bakers Avenue West Kingsdown Sevenoaks Kent TN15 6HA","+441474394922","https://directory.independent.co.uk/company/elite-dog-grooming/19693021","Sevenoaks"
"Groomingdales","Dog Clipping and Grooming in Burgess Hill","25 Ferndale Road Burgess Hill West Sussex RH15 0HB","+441444245517","https://directory.independent.co.uk/company/groomingdales/6849910","Burgess Hill"
"Groomers","Dog Clipping and Grooming in Halifax","Unit 4 Crossley Retail Park Halifax West Yorkshire HX1 5RA","+441422384132","https://directory.independent.co.uk/company/groomers/6704396","Halifax"
"Mutleys Makeovers","Dog Clipping and Grooming in Great Yarmouth","44 Baker Street Gorleston Great Yarmouth Norfolk NR31 6QT","+441493442442","https://directory.independent.co.uk/company/mutleys-makeovers/6882664","Gorleston"
"House Pets Spa - Dog Grooming","Dog Clipping and Grooming in Corby","2a Harrogate Court Greenhill Tise Corby Northamptonshire NN18 0PD","+447426111187","https://directory.independent.co.uk/company/house-pets-spa-dog-grooming/21123821","Corby"
"Muttley Crue Ltd","Dog Clipping and Grooming in Kidderminster","Foley Business Park Stourport Road Kidderminster Worcestershire DY11 7QL","+441562227273","https://directory.independent.co.uk/company/muttley-crue-ltd/21102921","Kidderminster"
"Diane's Grooming & Pet Centre","Dog Clipping and Grooming in Northampton","159 Weedon Road Northampton Northamptonshire NN5 5DA","+441604753823","https://directory.independent.co.uk/company/diane-s-grooming-andamp-pet-centre/21105321","Northampton"
"Canine Spa","Dog Clipping and Grooming in Birmingham","48 Westhouse Grove Kings Heath Birmingham West Midlands B14 6PT","+447580100841","https://directory.independent.co.uk/company/canine-spa/20586221","Birmingham"
"Windsor Pet Boutique & Spa","Dog Clipping and Grooming in Oldham","Ground Floor 328 Shaw Road Oldham Lancashire OL1 4WH","+441614658285","https://directory.independent.co.uk/company/windsor-pet-boutique-andamp-spa/20548321","Oldham"
"Mayfair Mutts","Dog Clipping and Grooming in South Shields","33 Frenchmans Way South Shields Tyne and Wear NE34 7TS","+447879702117","https://directory.independent.co.uk/company/mayfair-mutts/20551621","South Shields"
"Shampooch","Dog Clipping and Grooming in Northwich","3 Ash Road Sandiway Northwich Cheshire CW8 2NU","+447593856997","https://directory.independent.co.uk/company/shampooch/20342721","Northwich"
"Lisa's Dog Grooming Services","Dog Clipping and Grooming in Dorchester","Unit 2b Green Square Grove Trading Estate Dorchester Dorset DT1 1ST","+441305753414","https://directory.independent.co.uk/company/lisa-s-dog-grooming-services/20371721","Dorchester"
"Grooming Tails","Dog Clipping and Grooming in Runcorn","44 Hoylake Close, Murdishaw Liverpool WA7 6DU","+447765862756","https://directory.independent.co.uk/company/grooming-tails/20020521","Liverpool"
"Woofs N Scruffs","Dog Clipping and Grooming in Seaham","7a Cold Hesledon Industrial Estate Cold Hesledon Seaham County Durham SR7 8ST","+441915130990","https://directory.independent.co.uk/company/woofs-n-scruffs/21118721","Seaham"
"Milos Muddy Paws","Dog Clipping and Grooming in Sunderland (Tyne and Wear)","55 Keighley Avenue Sunderland Tyne and Wear SR5 4BS","+447856284533","https://directory.independent.co.uk/company/milos-muddy-paws/21350121","Sunderland"
"Mucky Mutz","Dog Clipping and Grooming in Basildon","1 Wykes Green Basildon Essex SS14 2PU","+447846078416","https://directory.independent.co.uk/company/mucky-mutz/21358221","Basildon"
"Wags in Style","Dog Clipping and Grooming in Kingston upon Thames (Surrey)","163 Park Road Kingston upon Thames Surrey KT2 6DQ","+442089748333","https://directory.independent.co.uk/company/wags-in-style/21414221","Kingston upon Thames"
"Grooming Marvellous","Dog Clipping and Grooming in Glasgow","1070 Cathcart Road Glasgow G42 9XW","+447765269839","https://directory.independent.co.uk/company/grooming-marvellous/21402521","Glasgow"
"Brighton Pet Spa Ltd","Dog Clipping and Grooming in Brighton","168 Lewes Road Brighton East Sussex BN2 3LD","+441273681636","https://directory.independent.co.uk/company/brighton-pet-spa-ltd/21370621","Brighton"
"Doggy Styles Grooming Studio","Dog Clipping and Grooming in Houghton le Spring","3 Thompsons Buildings Houghton le Spring Tyne and Wear DH4 4JF","+441915120505","https://directory.independent.co.uk/company/doggy-styles-grooming-studio/21281721","Houghton le Spring"
"Heads & Tails","Dog Clipping and Grooming in Kilmarnock","28 East Park Drive Kilmaurs Kilmarnock Ayrshire KA3 2QU","+441563540833","https://directory.independent.co.uk/company/heads-andamp-tails/18775118","Kilmarnock"
"Gone To The Dogs Mobile Dog Grooming Service","Dog Clipping and Grooming in Cheltenham","66 Upper Park Street Cheltenham Gloucestershire GL52 6SA","+441242690131","https://directory.independent.co.uk/company/gone-to-the-dogs-mobile-dog-grooming-service/12380818","Cheltenham"
"Posh Paws Dog Grooming","Dog Clipping and Grooming in Selby","43 Meadow Drive Thorpe Willoughby Selby North Yorkshire YO8 9PN","+441757290435","https://directory.independent.co.uk/company/posh-paws-dog-grooming/12375118","Selby"
"Animal Crackers","Dog Clipping and Grooming in Barnsley (South Yorkshire)","25 Dodworth Road Barnsley South Yorkshire S70 6DW","+441226291852","https://directory.independent.co.uk/company/animal-crackers/21762321","Barnsley"
"Presentable Pooches","Dog Clipping and Grooming in Newhaven (East Sussex)","12 High Street Newhaven East Sussex BN9 9PE","+441273512144","https://directory.independent.co.uk/company/presentable-pooches/21502321","Newhaven"
"Danni's Diamond Dogs","Dog Clipping and Grooming in Darwen","100 Sudell Road Darwen Lancashire BB3 3JA","+441254708291","https://directory.independent.co.uk/company/danni-s-diamond-dogs/21299521","Darwen"
"Protection Dogs Worldwide","Dog Training in Brough (North Humberside)","Sundown Station Lane, Broomfleet Broomfleet Brough North Humberside HU15 1RQ","+447858120456","https://directory.independent.co.uk/company/protection-dogs-worldwide/20253321","Brough"
